[I 2023-11-10 03:08:58,952] A new study created in memory with name: no-name-7fcc14aa-9232-45c3-a6be-ae5a363d33ca
[I 2023-11-10 07:29:41,675] Trial 51 finished with value: 36559.97565998906 and parameters: {'N': 6, 'n_neurons_1': 243, 'n_neurons_2': 132, 'n_neurons_3': 145, 'n_neurons_4': 98, 'kernel_regularizer': 0.025365860140043724, 'learning_rate': 0.00396182111368132, 'min_delta': 0.45437901297887473, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:32:35,516] Trial 52 finished with value: 45578.250243346956 and parameters: {'N': 6, 'n_neurons_1': 248, 'n_neurons_2': 135, 'n_neurons_3': 143, 'n_neurons_4': 95, 'kernel_regularizer': 0.02622028880963644, 'learning_rate': 0.004217851285047666, 'min_delta': 0.46605661400215986, 'patience': 4, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:35:18,045] Trial 53 finished with value: 40182.965232373186 and parameters: {'N': 5, 'n_neurons_1': 253, 'n_neurons_2': 140, 'n_neurons_3': 148, 'n_neurons_4': 98, 'kernel_regularizer': 0.03326635452649095, 'learning_rate': 0.003285816180243768, 'min_delta': 0.21045682783933187, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:39:12,659] Trial 54 finished with value: 21955.43281599537 and parameters: {'N': 7, 'n_neurons_1': 267, 'n_neurons_2': 119, 'n_neurons_3': 139, 'n_neurons_4': 92, 'kernel_regularizer': 0.02321273592178425, 'learning_rate': 0.004543262018457055, 'min_delta': 0.8707582127032726, 'patience': 5, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:42:15,338] Trial 55 finished with value: 369224.0599209301 and parameters: {'N': 7, 'n_neurons_1': 158, 'n_neurons_2': 110, 'n_neurons_3': 138, 'n_neurons_4': 87, 'kernel_regularizer': 0.022762629428533833, 'learning_rate': 0.0052722681596082885, 'min_delta': 0.9028816984320363, 'patience': 6, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:47:19,391] Trial 56 finished with value: 47669.94147631528 and parameters: {'N': 7, 'n_neurons_1': 271, 'n_neurons_2': 117, 'n_neurons_3': 111, 'n_neurons_4': 92, 'kernel_regularizer': 0.028868788050163536, 'learning_rate': 0.004713380310748814, 'min_delta': 0.5649998812208397, 'patience': 9, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:50:36,955] Trial 57 finished with value: 377944.1548339415 and parameters: {'N': 7, 'n_neurons_1': 279, 'n_neurons_2': 103, 'n_neurons_3': 128, 'n_neurons_4': 95, 'kernel_regularizer': 0.03518733501461141, 'learning_rate': 0.004397934570748795, 'min_delta': 0.0023529784470410764, 'patience': 7, 'batch_size': 64}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 07:56:02,503] Trial 58 finished with value: 23935.927429511652 and parameters: {'N': 8, 'n_neurons_1': 262, 'n_neurons_2': 122, 'n_neurons_3': 135, 'n_neurons_4': 100, 'kernel_regularizer': 0.03778846158148893, 'learning_rate': 0.005103663021573298, 'min_delta': 0.7426385463251992, 'patience': 4, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:00:53,025] Trial 59 finished with value: 23495.640342691313 and parameters: {'N': 8, 'n_neurons_1': 268, 'n_neurons_2': 122, 'n_neurons_3': 93, 'n_neurons_4': 100, 'kernel_regularizer': 0.038413791119191465, 'learning_rate': 0.005695246835743529, 'min_delta': 1.1610401499767526, 'patience': 4, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:05:32,911] Trial 60 finished with value: 27105.90288117292 and parameters: {'N': 9, 'n_neurons_1': 262, 'n_neurons_2': 122, 'n_neurons_3': 94, 'n_neurons_4': 100, 'kernel_regularizer': 0.04261055123889638, 'learning_rate': 0.0056192771664781115, 'min_delta': 1.126509999985426, 'patience': 3, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:08:16,399] Trial 61 finished with value: 479880.0399619388 and parameters: {'N': 9, 'n_neurons_1': 284, 'n_neurons_2': 120, 'n_neurons_3': 92, 'n_neurons_4': 100, 'kernel_regularizer': 0.042810029423778345, 'learning_rate': 0.005655494648670972, 'min_delta': 1.1540569012526867, 'patience': 3, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:10:43,500] Trial 62 finished with value: 921612.6305955361 and parameters: {'N': 8, 'n_neurons_1': 265, 'n_neurons_2': 106, 'n_neurons_3': 81, 'n_neurons_4': 100, 'kernel_regularizer': 0.03805393076529455, 'learning_rate': 0.006017625020047349, 'min_delta': 1.0498339376810517, 'patience': 3, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:16:38,929] Trial 63 finished with value: 44984.52666772531 and parameters: {'N': 8, 'n_neurons_1': 265, 'n_neurons_2': 124, 'n_neurons_3': 95, 'n_neurons_4': 97, 'kernel_regularizer': 0.04610743578007328, 'learning_rate': 0.005636718290609176, 'min_delta': 1.2916561471428065, 'patience': 4, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
[I 2023-11-10 08:21:48,935] Trial 64 finished with value: 30661.790933070857 and parameters: {'N': 9, 'n_neurons_1': 291, 'n_neurons_2': 113, 'n_neurons_3': 90, 'n_neurons_4': 98, 'kernel_regularizer': 0.041221968633446356, 'learning_rate': 0.0063845407417779144, 'min_delta': 0.7028498255294988, 'patience': 3, 'batch_size': 32}. Best is trial 16 with value: 20697.670790523138.
